participant_id,trial_order,trial_id,repeat_index_for_video,clip_team_id,clip_number,source,scene_sequence,camera_id,interactive_obj,clip_name,video_link,text_description,image_link,scene_image_rgb,vlm_image_link,interaction_type,pred_interaction,human_state,object_property,spatial_context,risk_factor,gt_human_bbox,gt_object_bbox,pred_human_bbox,pred_object_bbox,form_edit_url,form_published_url,vlm_inference,selected_frame_index
P001,1,warehouse_1_event_46_smallbox_0001_carrying_001998_002141.mp4,1,42,25,Hunavsim,Warehouse,1,smallbox_0001,warehouse_1_event_46_smallbox_0001_carrying_001998_002141.mp4,https://1drv.ms/v/c/e14d2464c52103f1/IQD_CPvq8-rgTai_COlbrtZ3AfHgqAUde-DTfnGODMpwPOU,"A person in a white or light gray outfit carries a small box beside the white warehouse wall, yellow forklift, stacked pallets, and blue rolling bins.",C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event_all_hunavsim\event_all\warehouse_1_event_46_smallbox_0001_carrying_001998_002141\vlm_input_image\frame_002103.png,C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event\warehouse_1_event_46_smallbox_0001_carrying_001998_002141\vlm_input_image\frame_002103.png,C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event_all_hunavsim\event_all\warehouse_1_event_46_smallbox_0001_carrying_001998_002141\vlm_input_image\frame_002103.png,carrying,carrying,normal,small,open_space,none,"[268, 109, 371, 369]","[227, 193, 275, 227]","[268, 109, 371, 369]","[227, 193, 275, 227]",,,VLM: carrying; human_state=normal; object_property=small; spatial_context=open_space; risk_factor=none; selected_frame=2103; gt_interaction=carrying,2103
P001,2,office_1_event_175_monitor_0005_lifting_007837_007879.mp4,3,63,216,Hunavsim,Office,1,monitor_0005,office_1_event_175_monitor_0005_lifting_007837_007879.mp4,https://1drv.ms/v/c/e14d2464c52103f1/IQDpiVniDgGgRpW5aCDWFKTrAVmkRB497Avqd7611w3Gd9s,"A person in a dark top near the office doorway lifts a computer monitor in a bright office room with desks, black chairs, computer monitors, doorway signage, and wall decorations.",C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event_all_hunavsim\event_all\office_1_event_175_monitor_0005_lifting_007837_007879\vlm_input_image\frame_007867.png,C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event\office_1_event_175_monitor_0005_lifting_007837_007879\vlm_input_image\frame_007867.png,C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event_all_hunavsim\event_all\office_1_event_175_monitor_0005_lifting_007837_007879\vlm_input_image\frame_007867.png,lifting,lifting,normal,large,narrow_corridor,none,"[394, 96, 535, 383]","[396, 206, 457, 276]","[394, 96, 535, 383]","[396, 206, 457, 276]",,,VLM: lifting; human_state=normal; object_property=large; spatial_context=narrow_corridor; risk_factor=none; selected_frame=7867; gt_interaction=lifting,7867
P001,3,warehouse_3_event_34_tripod_0001_lifting_001781_001827.mp4,2,46,77,Hunavsim,Warehouse,3,tripod_0001,warehouse_3_event_34_tripod_0001_lifting_001781_001827.mp4,https://1drv.ms/v/c/e14d2464c52103f1/IQAVefmbIU_OTryAX1hekc4XAYrYa0qH61OhPGAIBobLUYY,"A person in a white or light gray outfit lifts a tripod beside the white warehouse wall, yellow forklift, stacked pallets, and blue rolling bins.",C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event_all_hunavsim\event_all\warehouse_3_event_34_tripod_0001_lifting_001781_001827\vlm_input_image\frame_001810.png,C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event\warehouse_3_event_34_tripod_0001_lifting_001781_001827\vlm_input_image\frame_001810.png,C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event_all_hunavsim\event_all\warehouse_3_event_34_tripod_0001_lifting_001781_001827\vlm_input_image\frame_001810.png,lifting,lifting,strained,large,open_space,object_motion_risk,"[249, 109, 390, 368]","[191, 228, 385, 305]","[249, 109, 390, 368]","[191, 228, 385, 305]",,,VLM: lifting; human_state=strained; object_property=large; spatial_context=open_space; risk_factor=object_motion_risk; selected_frame=1810; gt_interaction=lifting,1810
P001,4,tressider-2019-04-26_1_image_4_pushing_001426_001650_H119_O65000.mp4,3,11,14,JRDB,tressider-2019-04-26_1,4,trolley,tressider-2019-04-26_1_image_4_pushing_001426_001650_H119_O65000.mp4,https://1drv.ms/v/c/e14d2464c52103f1/IQBVtruApknzTKJzSK5U_MsVAVEk7VFEwuQNcDWTdD4fN1E,A person in a dark red top pushes a low trolley through a crowded cafe seating area.,C:\Users\selin\OneDrive\dsg_kb_source\jrdb_event\event_all_jrdb\event_all\tressider-2019-04-26_1_image_4_pushing_001426_001650_H119_O65000\vlm_input_image\frame_000035.jpg,C:\Users\selin\OneDrive\dsg_kb_source\jrdb_event\event_all_jrdb\event_all\tressider-2019-04-26_1_image_4_pushing_001426_001650_H119_O65000\vlm_input_image\frame_000035.jpg,C:\Users\selin\OneDrive\dsg_kb_source\jrdb_event\event_all_jrdb\event_all\tressider-2019-04-26_1_image_4_pushing_001426_001650_H119_O65000\vlm_input_image\frame_000035.jpg,pushing,pushing,normal,large,open_space,none,"[570, 139, 621, 306]","[524, 199, 604, 317]","[570, 139, 621, 306]","[524, 199, 604, 317]",,,VLM: pushing; human_state=normal; object_property=large; spatial_context=open_space; risk_factor=none; selected_frame=35; gt_interaction=pushing,35
P001,5,office_1_event_100_largebox_0001_putting_down_004114_004146.mp4,4,55,188,Hunavsim,Office,1,largebox_0001,office_1_event_100_largebox_0001_putting_down_004114_004146.mp4,https://1drv.ms/v/c/e14d2464c52103f1/IQA7HDcOghYCQY4LKFaRZnVcAa9SjQ5Sa17gYqwwWk_vaSs,"A person in a white or gray outfit puts down a large cardboard box in a meeting-style office with rows of chairs, desks, monitors, and a dark patterned carpet.",C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event_all_hunavsim\event_all\office_1_event_100_largebox_0001_putting_down_004114_004146\vlm_input_image\frame_004129.png,C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event\office_1_event_100_largebox_0001_putting_down_004114_004146\vlm_input_image\frame_004129.png,C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event_all_hunavsim\event_all\office_1_event_100_largebox_0001_putting_down_004114_004146\vlm_input_image\frame_004129.png,putting_down,lifting,strained,bulky,open_space,object_motion_risk,"[229, 102, 410, 378]","[299, 260, 401, 350]","[225, 99, 411, 378]","[297, 255, 403, 351]",,,VLM: lifting; human_state=strained; object_property=bulky; spatial_context=open_space; risk_factor=object_motion_risk; selected_frame=4129; gt_interaction=putting_down,4129
P001,6,office_1_event_111_suitcase_0002_placing_004473_004517.mp4,3,67,190,Hunavsim,Office,1,suitcase_0002,office_1_event_111_suitcase_0002_placing_004473_004517.mp4,https://1drv.ms/v/c/e14d2464c52103f1/IQCi7oMO9FzbT5zfHMZSBrSYAcI4d8mETJnLzxMmslNGcKQ,"A person in a pink or light-colored outfit places a suitcase in a bright office room with desks, black chairs, computer monitors, doorway signage, and wall decorations.",C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event_all_hunavsim\event_all\office_1_event_111_suitcase_0002_placing_004473_004517\vlm_input_image\frame_004509.png,C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event\office_1_event_111_suitcase_0002_placing_004473_004517\vlm_input_image\frame_004509.png,C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event_all_hunavsim\event_all\office_1_event_111_suitcase_0002_placing_004473_004517\vlm_input_image\frame_004509.png,placing,carrying,normal,large,narrow_corridor,none,"[281, 111, 362, 369]","[242, 230, 295, 330]","[277, 105, 362, 369]","[242, 230, 295, 330]",,,VLM: carrying; human_state=normal; object_property=large; spatial_context=narrow_corridor; risk_factor=none; selected_frame=4509; gt_interaction=placing,4509
P001,7,warehouse_3_event_02_woodchair_0001_carrying_000003_000039.mp4,2,47,60,Hunavsim,Warehouse,3,woodchair_0001,warehouse_3_event_02_woodchair_0001_carrying_000003_000039.mp4,https://1drv.ms/v/c/e14d2464c52103f1/IQDWqNcUpg1RRLvSE8Yta7SMATPWeN382HEs_qafkugsy2Y,"A person in a dark outfit or purple pants carries a wooden chair in a yellow-and-white warehouse with a forklift, blue bins, pallets, and tall metal racks.",C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event_all_hunavsim\event_all\warehouse_3_event_02_woodchair_0001_carrying_000003_000039\vlm_input_image\frame_000023.png,C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event\warehouse_3_event_02_woodchair_0001_carrying_000003_000039\vlm_input_image\frame_000023.png,C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event_all_hunavsim\event_all\warehouse_3_event_02_woodchair_0001_carrying_000003_000039\vlm_input_image\frame_000023.png,carrying,carrying,strained,large,crowded,collision_risk,"[271, 110, 368, 370]","[202, 172, 287, 317]","[271, 105, 445, 439]","[202, 172, 287, 317]",,,VLM: carrying; human_state=strained; object_property=large; spatial_context=crowded; risk_factor=collision_risk; selected_frame=23; gt_interaction=carrying,23
P001,8,office_1_event_03_monitor_0001_putting_down_000394_000448.mp4,1,59,133,Hunavsim,Office,1,monitor_0001,office_1_event_03_monitor_0001_putting_down_000394_000448.mp4,https://1drv.ms/v/c/e14d2464c52103f1/IQCpKjTAqryhSa-acVZxCfEvAdQLSH6NknBcYDMZQUaxEiI,"A person in a light shirt and dark pants puts down a computer monitor in an office lobby with a long table, monitors, large windows, potted plants, and patterned carpet.",C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event_all_hunavsim\event_all\office_1_event_03_monitor_0001_putting_down_000394_000448\vlm_input_image\frame_000431.png,C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event\office_1_event_03_monitor_0001_putting_down_000394_000448\vlm_input_image\frame_000431.png,C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event_all_hunavsim\event_all\office_1_event_03_monitor_0001_putting_down_000394_000448\vlm_input_image\frame_000431.png,putting_down,carrying,normal,small,open_space,none,"[185, 15, 454, 465]","[168, 194, 272, 363]","[191, 51, 457, 425]","[165, 189, 277, 361]",,,VLM: carrying; human_state=normal; object_property=small; spatial_context=open_space; risk_factor=none; selected_frame=431; gt_interaction=putting_down,431
P001,9,warehouse_3_event_40_plasticbox_0001_kick_002059_002299.mp4,4,44,82,Hunavsim,Warehouse,3,plasticbox_0001,warehouse_3_event_40_plasticbox_0001_kick_002059_002299.mp4,https://1drv.ms/v/c/e14d2464c52103f1/IQC77ScjHiGxR5CIcZa_vp7HATrB2Zmd_jZqEz4MSRPpeMg,"A person in a white or light gray outfit kicks a plastic storage box beside the white warehouse wall, yellow forklift, stacked pallets, and blue rolling bins.",C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event_all_hunavsim\event_all\warehouse_3_event_40_plasticbox_0001_kick_002059_002299\vlm_input_image\frame_002061.png,C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event\warehouse_3_event_40_plasticbox_0001_kick_002059_002299\vlm_input_image\frame_002061.png,C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event_all_hunavsim\event_all\warehouse_3_event_40_plasticbox_0001_kick_002059_002299\vlm_input_image\frame_002061.png,kick,kicking,normal,large,open_space,none,"[431, 122, 517, 355]","[459, 314, 539, 363]","[431, 122, 517, 355]","[459, 314, 539, 363]",,,VLM: kicking; human_state=normal; object_property=large; spatial_context=open_space; risk_factor=none; selected_frame=2061; gt_interaction=kick,2061
P001,10,hospital_1_event_26_largetable_0001_lifting_002235_002304.mp4,4,51,120,Hunavsim,Hospital,1,largetable_0001,hospital_1_event_26_largetable_0001_lifting_002235_002304.mp4,https://1drv.ms/v/c/e14d2464c52103f1/IQDUpdWdvx2mSZEgyO0b_WisAaQ-Q6JxOHr3u7HhN73hyfE,"A person in a white clinical outfit lifts a large table in a hospital hallway with windows, yellow railings, benches, and blue storage carts.",C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event_all_hunavsim\event_all\hospital_1_event_26_largetable_0001_lifting_002235_002304\vlm_input_image\frame_002275.png,C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event\hospital_1_event_26_largetable_0001_lifting_002235_002304\vlm_input_image\frame_002275.png,C:\Users\selin\OneDrive\dsg_kb_source\hunavsim_event\event_all_hunavsim\event_all\hospital_1_event_26_largetable_0001_lifting_002235_002304\vlm_input_image\frame_002275.png,lifting,lifting,strained,large,narrow_corridor,collision_risk,"[259, 110, 380, 370]","[259, 178, 398, 289]","[259, 109, 373, 370]","[259, 178, 398, 289]",,,VLM: lifting; human_state=strained; object_property=large; spatial_context=narrow_corridor; risk_factor=collision_risk; selected_frame=2275; gt_interaction=lifting,2275
